product_id,product_name
285,OnePlus Xperia 5
286,Samzung MacBook Pro M3
287,Roadster Women Kurti
288,Lenovo MacBook Pro M3
289,HRX Track Pants
290,Roadster Formal Shirt
291,Roadster Track Pants
292,Organic India Sugar 1kg
293,Puma Track Pants
294,Roadster Hoodie
295,Dabur Wheat Flour 5kg
296,Tata Basmati Rice 10kg
297,Nike Denim Jacket
298,Samzung Galaxy S21
299,UCB Hoodie
300,Patanjali Sunflower Oil 1L
301,Apple ROG Strix
302,Amul Toor Dal 2kg
303,Nokia Wireless Earbuds
304,UCB Running Shoes
305,Samsung MacBook Air M2
306,Amul Milk Powder 1kg
307,Samzung MacBook Pro M3
308,Tata Basmati Rice 10kg
309,Boat Galaxy S23
310,Levi's Cotton Saree
311,Organic India Green Tea 100g
312,H&M Men T-Shirt
313,Apple Bluetooth Speaker
314,Nokia Wireless Earbuds
315,Dell Galaxy S21
316,India Gate Butter 200g
317,Asus Xperia 5
318,Nike Sports Shorts
319,Tommy Hilfiger Formal Shirt
320,HRX Cotton Saree
321,Dabur Butter 200g
322,Tata Toor Dal 2kg
323,Dabur Honey 500g
324,Levi's Slim Fit Jeans
325,Asus MacBook Air M2
326,Dabur Green Tea 100g
327,OnePlus iPhone 13
328,Fortune Sunflower Oil 1L
329,Nike Sports Shorts
330,Amul Oats 1kg
331,Sony Galaxy S21 Ultra
332,Amul Sunflower Oil 1L
333,Levi's Cotton Saree
334,India Gate Basmati Rice 10kg
335,UCB Track Pants
336,HP ThinkPad X1
337,Puma Women Kurti
338,UCB Slim Fit Jeans
339,Levi's Running Shoes
340,Puma Men T-Shirt
341,Nokia Wireless Earbuds
342,Tata Sugar 1kg
343,Redmi Inspiron 15
344,Realme Galaxy S21 Ultra
345,Allen Solly Hoodie
346,Adidas Denim Jacket
347,India Gate Wheat Flour 5kg
348,Roadster Women Kurti
349,Nike Men T-Shirt
350,Tommy Hilfiger Casual Sneakers
351,Nike Track Pants
352,Amul Salt 1kg
353,Amool Butter 200g
354,India Gate Sugar 1kg
355,Dabur Butter 200g
356,Patanjali Oats 1kg
357,Organic India Honey 500g
358,Samsung IdeaPad Slim 3
359,Samzung Noise Cancelling Headphones
360,Aashirvaad Sugar 1kg
361,Realme Galaxy S21
362,Zara Hoodie
363,Samzung iPhone 14
364,Adidas Men T-Shirt
365,Nestle Honey 500g
366,Amul Wheat Flour 5kg
367,Nestle Salt 1kg
368,India Gate Sunflower Oil 1L
369,Apple Bluetooth Speaker
370,HP MacBook Air M2
371,Puma Formal Shirt
372,Nestle Butter 200g
373,Zara Denim Jacket
374,Amul Oats 1kg
375,Boat Galaxy S22
376,Patanjali Butter 200g
377,HRX Hoodie
378,Adidas Casual Sneakers
379,Roadster Slim Fit Jeans
380,Dell MacBook Pro M3
381,Tata Toor Dal 2kg
382,Britannia Milk Powder 1kg
383,Samzung iPhone 13
384,Sony Wireless Earbuds
385,Roadster Hoodie
386,Samzung Nord CE 3
387,Puma Leather Jacket
388,Dell Inspiron 15
389,HP Pavillion 14
390,Nike Men T-Shirt
391,Fortune Sunflower Oil 1L
392,Britannia Milk Powder 1kg
393,Zara Women Kurti
394,Fortune Toor Dal 2kg
395,Levi's Denim Jacket
396,Tommy Hilfiger Running Shoes
397,Roadster Leather Jacket
398,Apple Bluetooth Speaker
399,India Gate Salt 1kg
400,Tata Green Tea 100g
401,Patanjali Green Tea 100g
402,Britannia Honey 500g
403,Boat Wireless Earbuds
404,Boat Pavilion 14
405,Realme Noise Cancelling Headphones
406,Nestle Basmati Rice 10kg
407,Tata Butter 200g
408,H&M Track Pants
409,Boat Pavilion 14
410,Amul Basmati Rice 10kg
411,Realme MacBook Air M2
412,Nestle Green Tea 100g
413,Nokia IdeaPad Slim 3
414,Dabur Basmati Rice 10kg
415,Wrangler Track Pants
416,Organic India Butter 200g
417,Roadster Women Kurti
418,Amul Green Tea 100g
419,Allen Solly Sports Shorts
420,Redmi Inspiron 15
421,Organic India Sugar 1kg
422,Fortune Honey 500g
423,Tata Sugar 1kg
424,UCB Slim Fit Jeans
425,Levi's Track Pants
426,Samzung Inspiron 15
427,Apple ROG Strix
428,Roadster Cotton Saree
429,Amul Basmati Rice 10kg
430,Amul Butter 250g
431,Dabur Wheat Flour 5kg
432,Organic India Salt 1kg
433,Boat Xperia 5
434,Lenovo IdeaPad Slim 3
435,Dabur Wheat Flour 5kg
436,Apple IdeaPad Slim 3
437,Zara Running Shoes
438,Organic India Sugar 1kg
439,Tata Wheat Flour 5kg
440,Lenovo Pavilion 14
441,Nike Air Max
442,Redmi MacBook Pro M3
443,Nokia Nord CE 3
444,Amul Butter 200g
445,Nokia iPhone 13
446,Britannia Butter 200g
447,Aashirvaad Toor Dal 2kg
448,Adidas Formal Shirt
449,Puma Leather Jacket
450,Tommy Hilfiger Women Kurti
451,Redmi Smart Watch
452,Adidas Slim Fit Jeans
453,Amul Toor Dal 2kg
454,Aashirvaad Basmati Rice 10kg
455,India Gate Sugar 1kg
456,Britannia Basmati Rice 10kg
457,Roadster Women Kurti
458,Organic India Salt 1kg
459,Tata Sugar 1kg
460,Organic India Basmati Rice 10kg
461,Tommy Hilfiger Running Shoes
462,India Gate Green Tea 100g
463,India Gate Milk Powder 1kg
464,India Gate Honey 500g
465,Zara Track Pants
466,Aashirvaad Wheat Flour 5kg
467,Patanjali Butter 200g
468,HP iPhone 14 Pro
469,India Gate Honey 500g
470,Organic India Milk Powder 1kg
471,Puma Denim Jacket
472,Dabur Butter 200g
473,Nike Track Pants
474,Allen Solly Track Pants
475,Sony Inspiron 15
476,Redmi Galaxy S23
477,HRX Women Kurti
478,Dell Wireless Earbuds
479,Allen Solly Casual Sneakers
480,Dell Galaxy S23
481,Nestle Oats 1kg
482,Redmi Galaxy S21
483,Adidas Cotton Saree
484,Sony Galaxy S21
485,Roadster Sports Shorts
486,Realme Bluetooth Speaker
487,India Gate Honey 500g
488,Patanjali Basmati Rice 10kg
489,Dell ROG Strix
490,Samzung Wireless Earbuds
491,HRX Running Shoes
492,Samzung Galaxy S21
493,Wrangler Formal Shirt
494,Organic India Sunflower Oil 1L
495,Puma Hoodie
496,Levi's Sports Shorts
497,Realme ROG Strix
498,Realme Galaxy S21 Ultra
499,UCB Leather Jacket
500,Aashirvaad Butter 200g
